value,location_id,date,province_id,autonomous_region_id,age_range,sex,_id
637,39075,2009-08,39,6,<25,H,39075/2009-08-01/<25/H
2243,39075,2009-08,39,6,>=45,M,39075/2009-08-01/>=45/M
2055,39075,2009-08,39,6,25-44,M,39075/2009-08-01/25-44/M
3450,39075,2009-09,39,6,>=45,H,39075/2009-09-01/>=45/H
2132,39075,2009-09,39,6,25-44,M,39075/2009-09-01/25-44/M
712,39075,2009-09,39,6,<25,H,39075/2009-09-01/<25/H
2889,39075,2009-09,39,6,<25,M,39075/2009-09-01/<25/M
543,39075,2009-09,39,6,25-44,H,39075/2009-09-01/25-44/H
2260,39075,2009-09,39,6,>=45,M,39075/2009-09-01/>=45/M
563,39075,2009-10,39,6,25-44,H,39075/2009-10-01/25-44/H
2329,39075,2009-10,39,6,>=45,M,39075/2009-10-01/>=45/M
774,39075,2009-10,39,6,<25,H,39075/2009-10-01/<25/H
3624,39075,2009-10,39,6,>=45,H,39075/2009-10-01/>=45/H
3019,39075,2009-10,39,6,<25,M,39075/2009-10-01/<25/M
2199,39075,2009-10,39,6,25-44,M,39075/2009-10-01/25-44/M
2427,39075,2009-11,39,6,>=45,M,39075/2009-11-01/>=45/M
3132,39075,2009-11,39,6,<25,M,39075/2009-11-01/<25/M
2277,39075,2009-11,39,6,25-44,M,39075/2009-11-01/25-44/M
599,39075,2009-11,39,6,25-44,H,39075/2009-11-01/25-44/H
3722,39075,2009-11,39,6,>=45,H,39075/2009-11-01/>=45/H
809,39075,2009-11,39,6,<25,H,39075/2009-11-01/<25/H
2365,39075,2009-12,39,6,25-44,M,39075/2009-12-01/25-44/M
798,39075,2009-12,39,6,<25,H,39075/2009-12-01/<25/H
3152,39075,2009-12,39,6,<25,M,39075/2009-12-01/<25/M
603,39075,2009-12,39,6,25-44,H,39075/2009-12-01/25-44/H
3955,39075,2009-12,39,6,>=45,H,39075/2009-12-01/>=45/H
2463,39075,2009-12,39,6,>=45,M,39075/2009-12-01/>=45/M
620,39075,2010-01,39,6,25-44,H,39075/2010-01-01/25-44/H
3351,39075,2010-01,39,6,<25,M,39075/2010-01-01/<25/M
2372,39075,2010-01,39,6,25-44,M,39075/2010-01-01/25-44/M
784,39075,2010-01,39,6,<25,H,39075/2010-01-01/<25/H
2549,39075,2010-01,39,6,>=45,M,39075/2010-01-01/>=45/M
4038,39075,2010-01,39,6,>=45,H,39075/2010-01-01/>=45/H
2410,39075,2010-02,39,6,25-44,M,39075/2010-02-01/25-44/M
4048,39075,2010-02,39,6,>=45,H,39075/2010-02-01/>=45/H
3479,39075,2010-02,39,6,<25,M,39075/2010-02-01/<25/M
2561,39075,2010-02,39,6,>=45,M,39075/2010-02-01/>=45/M
842,39075,2010-02,39,6,<25,H,39075/2010-02-01/<25/H
668,39075,2010-02,39,6,25-44,H,39075/2010-02-01/25-44/H
3513,39075,2010-03,39,6,<25,M,39075/2010-03-01/<25/M
2605,39075,2010-03,39,6,>=45,M,39075/2010-03-01/>=45/M
642,39075,2010-03,39,6,25-44,H,39075/2010-03-01/25-44/H
835,39075,2010-03,39,6,<25,H,39075/2010-03-01/<25/H
4056,39075,2010-03,39,6,>=45,H,39075/2010-03-01/>=45/H
2425,39075,2010-03,39,6,25-44,M,39075/2010-03-01/25-44/M
666,39075,2010-04,39,6,25-44,H,39075/2010-04-01/25-44/H
3497,39075,2010-04,39,6,<25,M,39075/2010-04-01/<25/M
2579,39075,2010-04,39,6,>=45,M,39075/2010-04-01/>=45/M
4076,39075,2010-04,39,6,>=45,H,39075/2010-04-01/>=45/H
2466,39075,2010-04,39,6,25-44,M,39075/2010-04-01/25-44/M
827,39075,2010-04,39,6,<25,H,39075/2010-04-01/<25/H
2558,39075,2010-05,39,6,>=45,M,39075/2010-05-01/>=45/M
626,39075,2010-05,39,6,25-44,H,39075/2010-05-01/25-44/H
3427,39075,2010-05,39,6,<25,M,39075/2010-05-01/<25/M
758,39075,2010-05,39,6,<25,H,39075/2010-05-01/<25/H
3913,39075,2010-05,39,6,>=45,H,39075/2010-05-01/>=45/H
2417,39075,2010-05,39,6,25-44,M,39075/2010-05-01/25-44/M
564,39075,2010-06,39,6,25-44,H,39075/2010-06-01/25-44/H
3282,39075,2010-06,39,6,<25,M,39075/2010-06-01/<25/M
2511,39075,2010-06,39,6,>=45,M,39075/2010-06-01/>=45/M
3628,39075,2010-06,39,6,>=45,H,39075/2010-06-01/>=45/H
